name,longitude,latitude,address,CITY,STATE,ZIP5,zip4,County
FALETTI MEAT,-88.155815,41.305218,392 W Baltimore St,Wilmington,IL,60481,1291,WILL 
Walgreens 13861,-88.103249,41.832497,2020 S Naperville Rd,Wheaton,IL,60189,8171,DU PAGE 
7-Eleven 32818C,-88.206604,41.950565,1500 IL Route 59,Bartlett,IL,60103,1704,DU PAGE 
7-eleven 33496C,-87.627541,41.874901,535 S State St,Chicago,IL,60605,1616,COOK 
Dollar General 12507,-90.002045,39.892826,1815 Fulton Lane,Ashland,IL,62612,,CASS 
Ricky Petroleum,-88.84861,42.2649,717 N State St,Belvidere,IL,61008,2635,BOONE 
Casey's General Store 1338,-88.921104,41.585133,701 S Ottawa St,Earlville,IL,60518,8003,LA SALLE 
Casey's General Store 2248,-88.669334,41.635986,900 E Market St,Somonauk,IL,60552,3175,DE KALB 
ALDI 20,-88.281075,41.756493,1410 E New York St,Aurora,IL,60505,3925,KANE 
DT/DEAL$ 4464,-88.135124,41.522331,2134 W Jefferson St,Joliet,IL,60435,6622,WILL 
Casey's General Store 2897,-89.793701,38.496349,705 N Jefferson St,Mascoutah,IL,62258,1424,ST CLAIR 
Ruby Indo Pak Grocery Inc.,-87.799393,42.049179,9232 Waukegan Rd,Morton Grove,IL,60053,2101,COOK 
CVS 8043,-88.987144,40.510307,100 S Fell Ave,Normal,IL,61761,,MCLEAN 
Carnicerias Jimenez,-87.994621,41.934647,240 W Lake St,Addison,IL,60101,2513,DU PAGE 
Rockwell Mini Mart Inc,-87.693787,41.96579,4634 N Rockwell St,Chicago,IL,60625,2941,COOK 
Jewel 3406,-87.948837,42.262188,1300 S MILWAUKEE,LIBERTYVILLE,IL,60048,,LAKE 
STAR FOOD & GIFT INC,-88.121048,42.004299,1125 Westover Ln,Schaumburg,IL,60193,3430,COOK 
DOLLAR TREE 3082,-89.925369,41.22226,150 E South St,Kewanee,IL,61443,,HENRY 
Mi Pueblito Mini Market,-87.703194,41.782463,6101 S Kedzie Ave,Chicago,IL,60629,3318,COOK 
Casey's General Store 2910,-87.875443,41.177612,1430 N Convent St,Bourbonnais,IL,60914,4853,KANKAKEE 
Brussels Red And White,-90.586861,38.949059,107 Main St,Brussels,IL,62013,9800,CALHOUN 
Fairview Motomart 3109,-89.984856,38.588814,6114 N Illinois St,Fairview Heights,IL,62208,2715,ST CLAIR 
New Bharath Grocery Inc,-87.907455,41.889374,5555 Saint Charles Rd,Berkeley,IL,60163,1211,COOK 
FOODSMART,-87.713188,41.931942,3415 W Diversey Ave,Chicago,IL,60647,1220,COOK 
Decatur Discount,-88.968872,39.854805,898 W Grand Ave,Decatur,IL,62522,1612,MACON 
Family Dollar 8514,-88.094055,41.902252,131 E North Ave,Glendale Heights,IL,60139,,DU PAGE 
KRAMER FOODS,-87.932434,41.803471,16 Grant Sq,Hinsdale,IL,60521,3360,DU PAGE 
Amish & Healthy Foods Inc.,-87.68689,41.900097,1025 N Western Ave,Chicago,IL,60622,3566,COOK 
Carniceria Guanajuato #3,-87.697838,41.938728,3140 N California Ave,Chicago,IL,60618,7034,COOK 
Circle K 6723,-88.340034,41.847309,164 S Randall Rd,Batavia,IL,60510,9275,KANE 
Circle K 6764,-87.799164,41.73262,8700 S Harlem Ave,Bridgeview,IL,60455,1906,COOK 
N & N Food & Liquor,-89.133286,42.277107,3109 W State St,Rockford,IL,61102,1710,WINNEBAGO 
Addison & Austin Citgo,-87.776527,41.945827,6000 W Addison St,Chicago,IL,60634,4209,COOK 
Dollar General 12494,-87.666962,40.372372,705 S Chicago St,Rossville,IL,60963,9704,VERMILION 
Dollar General 12750,-88.318436,41.783592,1261 N Lake Street,Aurora,IL,60506,,KANE 
7-12 Food Mart Inc.,-87.794685,41.930939,6756 W Diversey Ave,Chicago,IL,60707,1716,COOK 
Walmart Supercenter 4695,-90.192619,38.965176,6660 Godfrey Rd,Godfrey,IL,62035,2219,MADISON 
ALDI  58,-87.689941,41.961258,2431 W Montrose Ave,Chicago,IL,60618,1605,COOK 
"ONE STOP FOOD & LIQUOR, INC",-87.598755,41.816879,4301 S Lake Park Ave,Chicago,IL,60653,3703,COOK 
Euro Homeland Deli,-88.123253,41.641869,456 N Weber Rd,Romeoville,IL,60446,5362,WILL 
SHOP-N-SAVE,-87.621124,41.765549,135 E 71st St,Chicago,IL,60619,1001,COOK 
7-Eleven 33730A,-88.269264,41.455029,462 W Mondamin St,Minooka,IL,60447,9875,GRUNDY 
7-Eleven 34199A,-87.739784,41.96793,4771 N Elston Ave,Chicago,IL,60630,4002,COOK 
7-Eleven 33582B,-87.625931,41.885818,58 E Lake St,Chicago,IL,60601,5905,COOK 
